index,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
140,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm712232,ca,35.0,26888.0,white,gray,nissan infiniti lt,22400.0,23250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
141,2013,infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek0dm920093,ca,48.0,7815.0,white,black,nissan infiniti lt,26800.0,27000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
142,2013,hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9dh691294,ca,43.0,54830.0,silver,gray,avis rac/san leandro,10950.0,11500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
143,2013,hyundai,Elantra,GLS,Sedan,manual,5npdh4ae9dh235016,ca,49.0,2606.0,white,beige,hyundai motor america/co car,13450.0,12300.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
144,2013,hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4dh712021,ca,39.0,36416.0,blue,gray,enterprise vehicle exchange/orange,12150.0,11400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
145,2013,hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh356789,ca,45.0,26412.0,black,beige,aaero sweet company,12050.0,11750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
146,2013,hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a40da089523,ca,21.0,11099.0,silver,gray,hyundai motor america/co car,19650.0,16500.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
147,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm725418,ca,45.0,11250.0,black,black,nissan infiniti lt,24300.0,23500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
148,2013,hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a46da091860,ca,48.0,16386.0,white,gray,hyundai motor america/co car,18000.0,18800.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
149,2013,hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb9dg057378,ca,48.0,20663.0,gray,gray,hyundai motor america/co car,19500.0,19200.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
150,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm714887,ca,43.0,16154.0,gray,black,nissan infiniti lt,23700.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
151,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm712055,ca,42.0,22405.0,gray,gray,nissan infiniti lt,23000.0,23000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
152,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm713801,ca,38.0,28172.0,silver,black,nissan infiniti lt,22300.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
153,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm712170,ca,47.0,18600.0,white,black,nissan infiniti lt,23400.0,24750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
154,2013,infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek5dm900518,ca,43.0,17523.0,silver,black,nissan infiniti lt,25600.0,26500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
155,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm712417,ca,4.0,11440.0,black,black,nissan infiniti lt,24300.0,23000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
156,2013,hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh771160,ca,36.0,28231.0,gray,gray,gm financial,12650.0,13400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
157,2013,hyundai,Santa Fe,Limited,SUV,automatic,km8sr4hf7du008024,ca,42.0,13225.0,black,brown,hyundai motor america/co car,23400.0,26000.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
158,2013,hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh744455,ca,35.0,41888.0,gray,gray,avis corporation,11800.0,11900.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
159,2013,hyundai,Sonata,Limited,Sedan,automatic,5npec4ac6dh513954,ca,37.0,35428.0,black,beige,hyundai motor finance,16000.0,16200.0,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
160,2013,hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh327134,ca,35.0,36307.0,gray,gray,enterprise vehicle exchange/orange,11500.0,11700.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
161,2013,hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a48da092248,ca,46.0,13736.0,black,beige,hyundai motor america/co car,18350.0,17700.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
162,2013,hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh345667,ca,2.0,25442.0,gold,beige,enterprise vehicle exchange / tra / rental / tulsa,12150.0,6700.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
163,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm303216,ca,44.0,15208.0,white,black,nissan infiniti lt,23800.0,25250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
164,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm713003,ca,25.0,10929.0,white,gray,nissan infiniti lt,24700.0,21000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
165,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm300442,ca,44.0,29672.0,white,black,nissan infiniti lt,22100.0,23000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
166,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm712403,ca,37.0,22165.0,black,beige,nissan infiniti lt,23000.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
167,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm717292,ca,45.0,21263.0,black,beige,nissan infiniti lt,23100.0,22000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
168,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm715446,ca,45.0,24971.0,gray,black,nissan infiniti lt,22900.0,21250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
